Designator,Footprint,Quantity,Value,LCSC Part #
"AMB1, AMB10, AMB2, AMB3, AMB4, AMB5, AMB6, AMB7, AMB8, AMB9, GLO1, GLO2, GLO3, LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED9",LED_6028R,94,SK6812,C5149201 
"C1, C10, C11, C17, C2, C7, C8, C9",C_0402,8,100nF,C1525
"C12, C27, C3",C_0402,3,100nF,C14663
"C13, C14",C_0603,2,10uF,C19702
"C15, C16, C28, C29",C_0603,4,100nF,C14663 
C18,C_0402,1,10uF,C1525
C19,C_0402,1,4.7uF,C23733
"C20, C21",C_0402,2,4.7uF,
"C22, C4, C5, C6",C_0402,4,100nF,
"C23_2, C23, C24, C30",CP_EIA-3216-12_Kemet-S,4,47uF,
"C25, C26",C_0402,2,30pF,
"CA1, CA10, CA2, CA3, CA4, CA5, CA6, CA7, CA8, CA9, CG1, CG2, CG3, MC1, MC2, MC3, MC4, MC5, MC6",C_0402,19,0.1uF,C1525
"CL1, CL10, CL11, CL12, CL13, CL14, CL15, CL16, CL17, CL18, CL19, CL2, CL20, CL21, CL22, CL23, CL24, CL25, CL26, CL27, CL28, CL29, CL3, CL30, CL31, CL32, CL33, CL34, CL35, CL36, CL37, CL38, CL39, CL4, CL40, CL41, CL42, CL43, CL44, CL45, CL46, CL47, CL48, CL49, CL5, CL50, CL51, CL52, CL53, CL54, CL55, CL56, CL57, CL58, CL59, CL6, CL60, CL61, CL62, CL63, CL64, CL65, CL66, CL67, CL68, CL69, CL7, CL70, CL71, CL72, CL73, CL74, CL75, CL76, CL77, CL78, CL79, CL8, CL80, CL81, CL9",C_0402,81,0.1u,C1525
D1,D_SOD-523,1,1N4148WT,
ERM1,Coin_Motor_ERM_10mm,1,Motor_DC,
FB1,Ferrite_0603,1,600R,C1002
FB3,Ferrite_0402,1,600R,
"HE1, HE10, HE11, HE12, HE13, HE14, HE15, HE16, HE17, HE18, HE19, HE2, HE20, HE21, HE22, HE23, HE24, HE25, HE26, HE27, HE29, HE3, HE31, HE32, HE33, HE34, HE35, HE36, HE37, HE38, HE39, HE4, HE40, HE41, HE42, HE44, HE46, HE47, HE48, HE49, HE5, HE50, HE51, HE52, HE53, HE54, HE55, HE56, HE58, HE6, HE60, HE61, HE62, HE63, HE64, HE65, HE66, HE67, HE68, HE69, HE7, HE71, HE76, HE77, HE78, HE79, HE8, HE80, HE81, HE9",SW_MX_HE_90deg_1u_4layer,70,49E,C7420984
HE28,SW_MX_HE_90deg_2.00u_4layer,1,49E,C7420984
"HE30, HE43",SW_MX_HE_90deg_1.5u_4layer,2,49E,C7420984
"HE45, HE70",SW_MX_HE_90deg_1.75u_4layer,2,49E,C7420984
HE45.1,SW_MX_HE_90deg_1.75u_STP_1.5_4layer,1,DNP,C7420984
"HE57, HE59",SW_MX_HE_90deg_2.25u_4layer,2,49E,C7420984
"HE72, HE73, HE74",SW_MX_HE_90deg_1.25u_4layer,3,49E,C7420984
HE75,SW_MX_HE_90deg_6.25u_4layer,1,49E,C7420984
J1,XUNPU_FPC-05F-8PH20_1x8-1MP_P0.5mm,1,TFT,
J3,XUNPU_FPC-05F-4PH20_1x4-1MP_P0.5mm,1,FPC_4P_0.5mm,
J4,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,LED_EXP,
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,
L1,L_Murata_DFE201610P,1,3.3uH,
"LED75L1, LED75L2, LED75R1, LED75R2",LED_WS2812_2020,4,WS2812_2020,
"M1, M2, M3, M4, M5, M6",SSOP-24_5.3x8.2mm_P0.65mm,6,CD74HC4067SM,
"Q1, Q3",SOT-23,2,AO3401A,
"Q2, Q4",SOT-23,2,BSS138,
R1,R_0402,1,33R,C25105
R10,R_0402,1,1K,
R11,R_0603,1,100,
R12,R_0603,1,10k,
"R13, R4, R5",R_0603,3,100K,
"R14, R30, R31, R32, R33",R_0402,5,10K,C25744
R15,R_0603,1,330,
"R16, R17, R18, R19, R20, R21",R_0402,6,100R,C25076
"R2, R3, R6, R8",R_0402,4,27R,
R22,R_0603,1,75K,
"R23, R24",R_0402,2,2.2K,
R25,R_0402,1,1K,C11702
"R26, R27, R28, R29",R_0603,4,10K,C25804
R7,R_0603,1,1M,
R9,R_0603,1,10R,C22859
S1,XDCR_RKJXT1F42001,1,RKJXT1F42001,
S28,STAB_MX_2u,1,Back,
S57,STAB_MX_2.25u,1,Enter,
S59,STAB_MX_2.25u,1,LShift,
S75,STAB_MX_6.25u,1,Space,
SD1,MSD1A,1,MSD-1-A,
SW1,SW_2x3x0.65mm_SPST_Tiny,1,SW_Push_Momentary,
TH1,R_0603,1,DNP (10K),
TP1,TestPoint_Pad_D1.0mm_Minimal,1,GP0,
TP2,TestPoint_Pad_D1.0mm_Minimal,1,GP1,
TP3,TestPoint_Pad_D1.0mm_Minimal,1,BOOT,
TP4,TestPoint_Pad_D1.0mm_Minimal,1,GND,
U1,SOT-23-5,1,AP2112K-3.3,C23380830
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2350B_QFN-80_EP_10.573x10.573_Pitch0.4mm,1,RP2350B-QFN80,C42415655
U4,UQFN-20_3x3mm_P0.4mm,1,MPR121QR2,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,12MHz,
