Designator,Mid X,Mid Y,Rotation,Layer
AMB1,319.087232,-106.858504,180.0,bottom
AMB10,319.087768,-55.06636,180.0,bottom
AMB2,319.087232,-101.103821,180.0,bottom
AMB3,319.087232,-95.349139,180.0,bottom
AMB4,319.087232,-89.594456,180.0,bottom
AMB5,319.087232,-83.839773,180.0,bottom
AMB6,319.087232,-78.085091,180.0,bottom
AMB7,319.087232,-72.330408,180.0,bottom
AMB8,319.087232,-66.575725,180.0,bottom
AMB9,319.087232,-60.821043,180.0,bottom
C1,204.75,-135.0,0.0,bottom
C10,190.25,-147.35,90.0,bottom
C11,185.76,-140.5,0.0,bottom
C12,204.75,-139.25,180.0,bottom
C13,181.0,-70.0,0.0,bottom
C14,178.0,-67.2,270.0,bottom
C15,325.45,-122.776,0.0,bottom
C16,323.3625,-117.501,90.0,bottom
C17,185.75,-133.25,180.0,bottom
C18,185.75,-132.25,180.0,bottom
C19,189.0,-127.5,90.0,bottom
C2,204.75,-141.25,180.0,bottom
C20,192.347,-130.2,0.0,bottom
C21,192.35,-129.18,0.0,bottom
C22,202.35,-120.45,0.0,bottom
C23_2,267.05,-113.7975,270.0,bottom
C23,171.5,-51.0,0.0,bottom
C24,190.5,-51.0,180.0,bottom
C25,197.7,-147.35,90.0,bottom
C26,192.4,-147.35,270.0,bottom
C27,185.75,-143.8,0.0,bottom
C28,131.5,-132.55,90.0,bottom
C29,328.6,-115.426,0.0,bottom
C3,201.75,-147.342999,270.0,bottom
C30,174.4,-67.95,90.0,bottom
C4,199.75,-147.342998,90.0,bottom
C5,185.76,-141.5,180.0,bottom
C6,189.25,-147.35,90.0,bottom
C7,185.75,-130.25,180.0,bottom
C8,197.7,-127.5,90.0,bottom
C9,196.7,-127.5,90.0,bottom
CA1,323.887232,-107.608504,180.0,bottom
CA10,323.887768,-55.81636,180.0,bottom
CA2,323.887232,-101.853821,180.0,bottom
CA3,323.887232,-96.099139,180.0,bottom
CA4,323.887232,-90.344456,180.0,bottom
CA5,323.887232,-84.589773,180.0,bottom
CA6,323.887232,-78.835091,180.0,bottom
CA7,323.887232,-73.080408,180.0,bottom
CA8,323.887232,-67.325725,180.0,bottom
CA9,323.887232,-61.571043,180.0,bottom
CG1,323.887232,-43.849968,180.0,bottom
CG2,323.887232,-38.849968,180.0,bottom
CG3,323.887232,-33.849968,180.0,bottom
CL1,42.9,-33.77,180.0,bottom
CL10,228.6375,-33.77,180.0,bottom
CL11,247.6875,-33.77,180.0,bottom
CL12,266.7375,-33.77,180.0,bottom
CL13,285.7875,-33.77,180.0,bottom
CL14,309.6,-33.77,180.0,bottom
CL15,42.9,-57.5825,180.0,bottom
CL16,61.95,-57.5825,180.0,bottom
CL17,81.0,-57.5825,180.0,bottom
CL18,100.05,-57.5825,180.0,bottom
CL19,119.1,-57.5825,180.0,bottom
CL2,66.7125,-33.77,180.0,bottom
CL20,138.15,-57.5825,180.0,bottom
CL21,157.2,-57.5825,180.0,bottom
CL22,176.25,-57.5825,180.0,bottom
CL23,195.3,-57.5825,180.0,bottom
CL24,214.35,-57.5825,180.0,bottom
CL25,233.4,-57.5825,180.0,bottom
CL26,252.45,-57.5825,180.0,bottom
CL27,271.5,-57.5825,180.0,bottom
CL28,300.075,-57.5825,180.0,bottom
CL29,338.175,-57.5825,180.0,bottom
CL3,85.7625,-33.77,180.0,bottom
CL30,47.6625,-76.6325,180.0,bottom
CL31,71.475,-76.6325,180.0,bottom
CL32,90.525,-76.6325,180.0,bottom
CL33,109.575,-76.6325,180.0,bottom
CL34,128.625,-76.6325,180.0,bottom
CL35,147.675,-76.6325,180.0,bottom
CL36,166.725,-76.6325,180.0,bottom
CL37,185.775,-76.6325,180.0,bottom
CL38,204.825,-76.6325,180.0,bottom
CL39,223.875,-76.6325,180.0,bottom
CL4,104.8125,-33.77,180.0,bottom
CL40,242.925,-76.6325,180.0,bottom
CL41,261.975,-76.6325,180.0,bottom
CL42,281.025,-76.6325,180.0,bottom
CL43,304.8375,-76.6325,180.0,bottom
CL44,338.175,-76.6325,180.0,bottom
CL45,50.04375,-95.6825,180.0,bottom
CL46,76.2375,-95.6825,180.0,bottom
CL47,95.2875,-95.6825,180.0,bottom
CL48,114.3375,-95.6825,180.0,bottom
CL49,133.3875,-95.6825,180.0,bottom
CL5,123.8625,-33.77,180.0,bottom
CL50,152.4375,-95.6825,180.0,bottom
CL51,171.4875,-95.6825,180.0,bottom
CL52,190.5375,-95.6825,180.0,bottom
CL53,209.5875,-95.6825,180.0,bottom
CL54,228.6375,-95.6825,180.0,bottom
CL55,247.6875,-95.6825,180.0,bottom
CL56,266.7375,-95.6825,180.0,bottom
CL57,297.69375,-95.6825,180.0,bottom
CL58,338.175,-95.6825,180.0,bottom
CL59,54.80625,-114.7325,180.0,bottom
CL6,147.675,-33.77,180.0,bottom
CL60,85.7625,-114.7325,180.0,bottom
CL61,104.8125,-114.7325,180.0,bottom
CL62,123.8625,-114.7325,180.0,bottom
CL63,142.9125,-114.7325,180.0,bottom
CL64,161.9625,-114.7325,180.0,bottom
CL65,181.0125,-114.7325,180.0,bottom
CL66,200.0625,-114.7325,180.0,bottom
CL67,219.1125,-114.7325,180.0,bottom
CL68,238.1625,-114.7325,180.0,bottom
CL69,257.2125,-114.7325,180.0,bottom
CL7,166.725,-33.77,180.0,bottom
CL70,283.40625,-114.7325,180.0,bottom
CL71,314.3625,-119.495,180.0,bottom
CL72,45.28125,-133.7825,180.0,bottom
CL73,69.09375,-133.7825,180.0,bottom
CL74,92.90625,-133.7825,180.0,bottom
CL75,164.34375,-133.7825,180.0,bottom
CL76,233.4,-133.7825,180.0,bottom
CL77,252.45,-133.7825,180.0,bottom
CL78,271.5,-133.7825,180.0,bottom
CL79,295.3125,-138.545,180.0,bottom
CL8,185.775,-33.77,180.0,bottom
CL80,314.3625,-138.545,180.0,bottom
CL81,333.4125,-138.545,180.0,bottom
CL9,204.825,-33.77,180.0,bottom
D1,327.0,-133.6,0.0,bottom
ENC1,333.375,-38.4,180.0,bottom
ERM1,335.7,-131.0,90.0,bottom
FB1,185.9,-68.8,90.0,bottom
FB3,185.75,-131.25,180.0,bottom
FID1,31.35,-30.6183,0.0,bottom
FID2,340.15,-150.3817,0.0,bottom
FID3,202.89,-130.4,0.0,bottom
GLO1,319.087232,-43.099968,180.0,bottom
GLO2,319.087232,-38.099968,180.0,bottom
GLO3,319.087232,-33.1,180.0,bottom
HE1,38.1,-38.1,180.0,bottom
HE10,223.8375,-38.1,180.0,bottom
HE11,242.8875,-38.1,180.0,bottom
HE12,261.9375,-38.1,180.0,bottom
HE13,280.9875,-38.1,180.0,bottom
HE14,304.8,-38.1,180.0,bottom
HE15,38.1,-61.9125,180.0,bottom
HE16,57.15,-61.9125,180.0,bottom
HE17,76.2,-61.9125,180.0,bottom
HE18,95.25,-61.9125,180.0,bottom
HE19,114.3,-61.9125,180.0,bottom
HE2,61.9125,-38.1,180.0,bottom
HE20,133.35,-61.9125,180.0,bottom
HE21,152.4,-61.9125,180.0,bottom
HE22,171.45,-61.9125,180.0,bottom
HE23,190.5,-61.9125,180.0,bottom
HE24,209.55,-61.9125,180.0,bottom
HE25,228.6,-61.9125,180.0,bottom
HE26,247.65,-61.9125,180.0,bottom
HE27,266.7,-61.9125,180.0,bottom
HE28,295.275,-61.9125,180.0,bottom
HE29,333.375,-61.9125,180.0,bottom
HE3,80.9625,-38.1,180.0,bottom
HE30,42.8625,-80.9625,180.0,bottom
HE31,66.675,-80.9625,180.0,bottom
HE32,85.725,-80.9625,180.0,bottom
HE33,104.775,-80.9625,180.0,bottom
HE34,123.825,-80.9625,180.0,bottom
HE35,142.875,-80.9625,180.0,bottom
HE36,161.925,-80.9625,180.0,bottom
HE37,180.975,-80.9625,180.0,bottom
HE38,200.025,-80.9625,180.0,bottom
HE39,219.075,-80.9625,180.0,bottom
HE4,100.0125,-38.1,180.0,bottom
HE40,238.125,-80.9625,180.0,bottom
HE41,257.175,-80.9625,180.0,bottom
HE42,276.225,-80.9625,180.0,bottom
HE43,300.0375,-80.9625,180.0,bottom
HE44,333.375,-80.9625,180.0,bottom
HE45,45.24375,-100.0125,180.0,bottom
HE46,71.4375,-100.0125,180.0,bottom
HE47,90.4875,-100.0125,180.0,bottom
HE48,109.5375,-100.0125,180.0,bottom
HE49,128.5875,-100.0125,180.0,bottom
HE5,119.0625,-38.1,180.0,bottom
HE50,147.6375,-100.0125,180.0,bottom
HE51,166.6875,-100.0125,180.0,bottom
HE52,185.7375,-100.0125,180.0,bottom
HE53,204.7875,-100.0125,180.0,bottom
HE54,223.8375,-100.0125,180.0,bottom
HE55,242.8875,-100.0125,180.0,bottom
HE56,261.9375,-100.0125,180.0,bottom
HE57,292.89375,-100.0125,180.0,bottom
HE58,333.375,-100.0125,180.0,bottom
HE59,50.00625,-119.0625,180.0,bottom
HE6,142.875,-38.1,180.0,bottom
HE60,80.9625,-119.0625,180.0,bottom
HE61,100.0125,-119.0625,180.0,bottom
HE62,119.0625,-119.0625,180.0,bottom
HE63,138.1125,-119.0625,180.0,bottom
HE64,157.1625,-119.0625,180.0,bottom
HE65,176.2125,-119.0625,180.0,bottom
HE66,195.2625,-119.0625,180.0,bottom
HE67,214.3125,-119.0625,180.0,bottom
HE68,233.3625,-119.0625,180.0,bottom
HE69,252.4125,-119.0625,180.0,bottom
HE7,161.925,-38.1,180.0,bottom
HE70,278.60625,-119.0625,180.0,bottom
HE71,309.5625,-123.825,180.0,bottom
HE72,40.48125,-138.1125,180.0,bottom
HE73,64.29375,-138.1125,180.0,bottom
HE74,88.10625,-138.1125,180.0,bottom
HE75,159.54375,-138.1125,180.0,bottom
HE76,228.6,-138.1125,180.0,bottom
HE77,247.65,-138.1125,180.0,bottom
HE78,266.7,-138.1125,180.0,bottom
HE79,290.5125,-142.875,180.0,bottom
HE8,180.975,-38.1,180.0,bottom
HE80,309.5625,-142.875,180.0,bottom
HE81,328.6125,-142.875,180.0,bottom
HE9,200.025,-38.1,180.0,bottom
J1,331.946,-119.126,90.0,top
J2,180.29,-148.8,90.0,bottom
J3,331.946,-119.126,270.0,bottom
J5,168.71,-147.47,90.0,bottom
JST1,192.0186,-70.1336,0.0,bottom
L1,192.33,-127.55,0.0,bottom
LED1,38.1,-33.02,180.0,bottom
LED10,223.8375,-33.02,180.0,bottom
LED11,242.8875,-33.02,180.0,bottom
LED12,261.9375,-33.02,180.0,bottom
LED13,280.9875,-33.02,180.0,bottom
LED14,304.8,-33.02,180.0,bottom
LED15,38.1,-56.8325,180.0,bottom
LED16,57.15,-56.8325,180.0,bottom
LED17,76.2,-56.8325,180.0,bottom
LED18,95.25,-56.8325,180.0,bottom
LED19,114.3,-56.8325,180.0,bottom
LED2,61.9125,-33.02,180.0,bottom
LED20,133.35,-56.8325,180.0,bottom
LED21,152.4,-56.8325,180.0,bottom
LED22,171.45,-56.8325,180.0,bottom
LED23,190.5,-56.8325,180.0,bottom
LED24,209.55,-56.8325,180.0,bottom
LED25,228.6,-56.8325,180.0,bottom
LED26,247.65,-56.8325,180.0,bottom
LED27,266.7,-56.8325,180.0,bottom
LED28,295.275,-56.8325,180.0,bottom
LED29,333.375,-56.8325,180.0,bottom
LED3,80.9625,-33.02,180.0,bottom
LED30,42.8625,-75.8825,180.0,bottom
LED31,66.675,-75.8825,180.0,bottom
LED32,85.725,-75.8825,180.0,bottom
LED33,104.775,-75.8825,180.0,bottom
LED34,123.825,-75.8825,180.0,bottom
LED35,142.875,-75.8825,180.0,bottom
LED36,161.925,-75.8825,180.0,bottom
LED37,180.975,-75.8825,180.0,bottom
LED38,200.025,-75.8825,180.0,bottom
LED39,219.075,-75.8825,180.0,bottom
LED4,100.0125,-33.02,180.0,bottom
LED40,238.125,-75.8825,180.0,bottom
LED41,257.175,-75.8825,180.0,bottom
LED42,276.225,-75.8825,180.0,bottom
LED43,300.0375,-75.8825,180.0,bottom
LED44,333.375,-75.8825,180.0,bottom
LED45,45.24375,-94.9325,180.0,bottom
LED46,71.4375,-94.9325,180.0,bottom
LED47,90.4875,-94.9325,180.0,bottom
LED48,109.5375,-94.9325,180.0,bottom
LED49,128.5875,-94.9325,180.0,bottom
LED5,119.0625,-33.02,180.0,bottom
LED50,147.6375,-94.9325,180.0,bottom
LED51,166.6875,-94.9325,180.0,bottom
LED52,185.7375,-94.9325,180.0,bottom
LED53,204.7875,-94.9325,180.0,bottom
LED54,223.8375,-94.9325,180.0,bottom
LED55,242.8875,-94.9325,180.0,bottom
LED56,261.9375,-94.9325,180.0,bottom
LED57,292.89375,-94.9325,180.0,bottom
LED58,333.375,-94.9325,180.0,bottom
LED59,50.00625,-113.9825,180.0,bottom
LED6,142.875,-33.02,180.0,bottom
LED60,80.9625,-113.9825,180.0,bottom
LED61,100.0125,-113.9825,180.0,bottom
LED62,119.0625,-113.9825,180.0,bottom
LED63,138.1125,-113.9825,180.0,bottom
LED64,157.1625,-113.9825,180.0,bottom
LED65,176.2125,-113.9825,180.0,bottom
LED66,195.2625,-113.9825,180.0,bottom
LED67,214.3125,-113.9825,180.0,bottom
LED68,233.3625,-113.9825,180.0,bottom
LED69,252.4125,-113.9825,180.0,bottom
LED7,161.925,-33.02,180.0,bottom
LED70,278.60625,-113.9825,180.0,bottom
LED71,309.5625,-118.745,180.0,bottom
LED72,40.48125,-133.0325,180.0,bottom
LED73,64.29375,-133.0325,180.0,bottom
LED74,88.10625,-133.0325,180.0,bottom
LED75,159.54375,-133.0325,180.0,bottom
LED75L1,140.49375,-138.1125,180.0,top
LED75L2,121.44375,-138.1125,180.0,top
LED75R1,178.59375,-138.1125,180.0,top
LED75R2,197.64375,-138.1125,180.0,top
LED76,228.6,-133.0325,180.0,bottom
LED77,247.65,-133.0325,180.0,bottom
LED78,266.7,-133.0325,180.0,bottom
LED79,290.5125,-137.795,180.0,bottom
LED8,180.975,-33.02,180.0,bottom
LED80,309.5625,-137.795,180.0,bottom
LED81,328.6125,-137.795,180.0,bottom
LED9,200.025,-33.02,180.0,bottom
M1,76.2,-86.915625,270.0,bottom
M2,114.3,-86.915625,270.0,bottom
M3,152.4,-86.915625,270.0,bottom
M4,209.621875,-86.91875,270.0,bottom
M5,247.721875,-86.915625,270.0,bottom
M6,288.131008,-86.915552,270.0,bottom
MC1,73.22344,-80.9625,270.0,bottom
MC2,111.323344,-80.962432,270.0,bottom
MC3,149.423312,-80.962432,270.0,bottom
MC4,206.573264,-80.962432,270.0,bottom
MC5,244.673232,-80.962432,270.0,bottom
MC6,285.154448,-80.962432,270.0,bottom
Q1,181.0,-62.05,180.0,bottom
Q2,181.0,-51.75,180.0,bottom
Q3,328.6875,-125.5,0.0,bottom
Q4,326.25,-131.0,90.0,bottom
R1,190.0,-127.5,270.0,bottom
R10,194.890001,-144.95,180.0,bottom
R11,324.6,-125.5,270.0,bottom
R12,137.0,-132.55,90.0,bottom
R13,326.15,-125.5,270.0,bottom
R14,323.75,-129.890001,90.0,bottom
R15,33.039816,-50.006208,90.0,bottom
R16,185.75,-139.5,0.0,bottom
R17,185.75,-138.5,0.0,bottom
R18,185.75,-137.5,0.0,bottom
R19,185.75,-136.5,0.0,bottom
R2,195.7,-127.5,90.0,bottom
R20,185.75,-135.5,0.0,bottom
R21,185.75,-134.5,0.0,bottom
R22,325.4375,-115.426,0.0,bottom
R23,204.75,-142.25,0.0,bottom
R24,204.75,-143.25,0.0,bottom
R25,323.75,-132.109999,270.0,bottom
R26,217.55,-147.35,270.0,bottom
R27,216.099998,-147.35,270.0,bottom
R28,219.0,-147.35,270.0,bottom
R3,194.7,-127.5,90.0,bottom
R4,183.5,-62.05,270.0,bottom
R5,185.25,-51.75,90.0,bottom
R6,204.75,-136.5,180.0,bottom
R7,183.75,-51.75,90.0,bottom
R8,204.75,-137.75,180.0,bottom
R9,328.637499,-122.776949,180.0,bottom
SD1,130.45,-141.449999,0.0,bottom
SW1,204.75,-131.825,270.0,bottom
U1,180.999999,-67.25,180.0,bottom
U2,205.95,-123.75,270.0,bottom
U3,195.3,-137.946499,0.0,bottom
U4,326.6625,-119.126,180.0,bottom
Y1,195.05,-147.35,0.0,bottom
